category,text,braille
초성,ㄱ,⠈
초성,ㄲ,⠠⠈
초성,ㄴ,⠉
초성,ㄷ,⠊
초성,ㄸ,⠠⠊
초성,ㄹ,⠐
초성,ㅁ,⠑
초성,ㅂ,⠘
초성,ㅃ,⠠⠘
초성,ㅅ,⠠
초성,ㅆ,⠠⠠
초성,ㅇ,⠛
초성,ㅈ,⠨
초성,ㅉ,⠠⠨
초성,ㅊ,⠰
초성,ㅋ,⠋
초성,ㅌ,⠓
초성,ㅍ,⠙
초성,ㅎ,⠚
중성,ㅏ,⠣
중성,ㅐ,⠗
중성,ㅑ,⠜
중성,ㅒ,⠜⠗
중성,ㅓ,⠎
중성,ㅔ,⠝
중성,ㅕ,⠱
중성,ㅖ,⠌
중성,ㅗ,⠥
중성,ㅘ,⠧
중성,ㅙ,⠧⠗
중성,ㅚ,⠽
중성,ㅛ,⠬
중성,ㅜ,⠍
중성,ㅝ,⠏
중성,ㅞ,⠏⠗
중성,ㅟ,⠍⠗
중성,ㅠ,⠩
중성,ㅡ,⠪
중성,ㅢ,⠺
중성,ㅣ,⠕
종성,ㄱ,⠁
종성,ㄲ,⠁⠁
종성,ㄳ,⠁⠄
종성,ㄴ,⠒
종성,ㄵ,⠒⠅
종성,ㄶ,⠒⠴
종성,ㄷ,⠔
종성,ㄹ,⠂
종성,ㄺ,⠂⠁
종성,ㄻ,⠂⠢
종성,ㄼ,⠂⠃
종성,ㄽ,⠂⠄
종성,ㄾ,⠂⠦
종성,ㄿ,⠂⠲
종성,ㅀ,⠂⠴
종성,ㅁ,⠢
종성,ㅂ,⠃
종성,ㅄ,⠃⠄
종성,ㅅ,⠄
종성,ㅆ,⠌
종성,ㅇ,⠶
종성,ㅈ,⠅
종성,ㅊ,⠆
종성,ㅋ,⠖
종성,ㅌ,⠦
종성,ㅍ,⠲
종성,ㅎ,⠴
약자,가,⠫
약자,나,⠉
약자,다,⠊
약자,마,⠑
약자,바,⠘
약자,사,⠇
약자,자,⠨
약자,카,⠋
약자,타,⠓
약자,파,⠙
약자,하,⠚
약자,것,⠸⠎
약자,까,⠠⠫
약자,싸,⠠⠇
약자,껏,⠠⠸⠎
약자,성,⠠⠻
약자,썽,⠠⠠⠻
약자,정,⠨⠻
약자,쩡,⠠⠨⠻
약자,청,⠰⠻
약자,억,⠹
약자,언,⠾
약자,얼,⠞
약자,연,⠡
약자,열,⠳
약자,영,⠻
약자,옥,⠭
약자,온,⠷
약자,옹,⠿
약자,운,⠛
약자,울,⠯
약자,은,⠵
약자,을,⠮
약자,일,⠟
약자,그래서,⠁⠎
약자,그러나,⠁⠉
약자,그러면,⠁⠒
약자,그러므로,⠁⠢
약자,그런데,⠁⠝
약자,그리고,⠁⠥
약자,그리하여,⠁⠱
숫자,0,⠼⠚
숫자,1,⠼⠁
숫자,2,⠼⠃
숫자,3,⠼⠉
숫자,4,⠼⠙
숫자,5,⠼⠑
숫자,6,⠼⠋
숫자,7,⠼⠛
숫자,8,⠼⠓
숫자,9,⠼⠊
